vendorID;title;description;country;descr_type
113;"Lux Fetish";"<p>Когда хочется стать ближе друг к другу, а также осуществить смелые фантазии, на помощь придёт Lux Fetish – фантастическая коллекция БДСМ-аксессуаров, разработанных в США.</p> <p>Под торговой маркой «Люкс Фетиш» собраны более 100 товаров, большая часть из которых относится к категории «Easy to Use». Наручники, фиксаторы ног, стропы для связывания, маски и кляпы – эти аксессуары как нельзя лучше подходят тем, кто только начинает знакомство с миром подчинения и доминирования.</p> <p>Для опытных же Господ и Рабов из России производитель предлагает кое-что посерьёзнее, например, секс-качели и смирительную рубашку. Новые, манящие возможности… всё это Lux Fetish, USA!</p>";США;html
114;Aneros;;США;html
115;"Ann Devine";;США;html
116;Glas;;США;html
117;"Hustler Lingerie";;США;html
118;"Electric Lingerie";"<p>Будучи основанным в 2003 году в США, бренд Electric Lingerie уже сегодня популярен более, чем в 20 странах мира.</p> <p>Модели Electric Lingerie отличаются смелым, дерзким оформлением и фасонами, подчеркивающими изящные изгибы тела. Главная особенность производителя - коллекция яркой неоновой клубной одежды из откровенных платьев, костюмов для танцовщиц go-go и броских вызывающих аксессуаров.</p> <p>Все модели бренда делятся на три серии: <ul><li>Hosiery Lingerie - сетчатые кэтсьиты, лифы и трусики, колготки, чулочки с различными плетениями. Созданные из нежной эластичной сеточки они идеально садятся по фигуре, повторяя ее очертания.</li> <li>Electric Lingerie - основная серия производителя, включающая в себя классические комплекты эротичного белья, сорочки и бэби-доллы.</li> <li>Electric Clubwear - открытые платья, откровенные топы и миниатюрные юбочки, костюмы для танцев go-go и клубных вечеринок, выполненные из эластичных материалов неоновых расцветок. Также в серию входят необычные аксессуары: крылья из натуральных перьев, сверкающие пэстисы различных форм.</li></ul></p>";США;html
119;Luxe;;Китай;html
120;Domino;;Китай;html
121;Sagami;;Япония;html
122;"Le Frivole";"<p>Чтобы блистать на карнавале или примерить на себя неожиданный образ, никак не обойтись без костюма. Вариант для любой тематической вечеринки предлагает Le Frivole. Эта торговая марка была зарегистрирована всего несколько лет назад. Однако этого срока хватило, чтобы снискать любовь покупателей в России и расширить ассортимент до 450 наименований. В большинстве своём, костюмы «Ле Фриволь» предназначены для женщин, однако и мужская линейка активно расширяется. </p> <p>Сегодня компания Le Frivole, производственные мощности которой находятся в Китае, выпускает яркие карнавальные костюмы (ангелов, фей, ведьм и пр.), а также сексуальные наряды для ролевых игр (медсестёр, полисвумен, служанок и пр.). Яркие, стильные, с интересными деталями, они призваны привлекать внимание окружающих и приумножать красоту своих обладательниц. Также среди ассортимента «Ле Фриволь» разнообразные аксессуары, способные создать образ «из ничего» или послужить завершающим штрихом костюма. </p>";Китай;html
123;"Dear girl";;Китай;html
124;Dupu;;Китай;html
125;Temptlife;;Китай;html
130;"Seven Creations";;Китай;html
131;NMC;;Канада;html
132;"LOVETOY (А-Полимер)";;Россия;html
134;Howells;;Китай;html
135;"Joy N More";;Россия;html
136;"Vibe Therapy";;Китай;html
137;Qvibry;;Китай;html
138;"Big Teaze Toys";;США;html
139;Casmir;"<p>Модное, сексуальное, приятное в носке, пошитое из высококачественных материалов по новейшим технологиям - всё это об эротическом белье Casmir. Впервые продукция этого польского бренда поступила в продажу в конце 2012 года и быстро смогла завоевать любовь женщин в Польше, странах ЕС, бывшего СНГ и России. </p> <p>На сегодняшний день под маркой Casmir выпускается более 130 роскошных моделей эротического белья: сорочек, боди, корсажей, пеньюаров и комплектов. Все они отвечают модным трендам, подчёркивают достоинства фигуры, окружают своих владелиц флёром сексуальности. Стоит отметить, что все сорочки, пеньюары и корсажи идут в комплекте с трусиками-стринг. </p> <p>Отличительная черта белья Casmir – высокое качество используемых материалов: все они произведены в Италии и Испании, имеют сертификат OECO-TEX. Для пошива используется уникальное двухцветное кружево, полупрозрачный тюль, воздушный фатин и эластичный сатин. Весь процесс производства компьютеризирован, что сводит на нет вероятность брака. </p>";Польша;html
140;Avanua;"<p>Компании Avanua, основанной в Польше в 2011 году, понадобилось всего несколько лет для того, чтобы завоевать бельевой рынок в Европе. Высокое качество используемых материалов, высокотехнологичное оборудование с компьютеризированным управлением, разумная цена и свежий дизайн – эти четыре слагаемых в сумме обеспечили невероятный успех продукции Avanua у женщин. </p> <p>На сегодняшний день ассортимент Avanua включает более 200 сексапильных моделей белья: сорочек, боди, комплектов, пеньюаров, корсажей, трусиков и пр. Все они изысканны на вид, приятны к телу, не вызывают аллергических реакций на коже и поставляются в подарочной упаковке.</p>";Польша;html
141;Svakom;"SVAKOM – популярный бренд, вся продукция которого выполнена из высококачественных экологически чистых материалов, отвечающих всем стандартам безопасности Европы и США.  <br><br>SVAKOM тщательно изучил сексуальные потребности людей и создал игрушки, удовлетворяющие желания самых взыскательных клиентов. Все изделия выполнены по новейшим технологиям и не только многофункциональны, но и обладают изящным элегантным дизайном. <br>SVAKOM – бренд, который заботится о высоком качестве продукции и о том, чтобы каждый пользователь смог испытать невероятные и новые ощущения с помощью одного нажатия кнопки.";США;html
142;Ero;"Представляем Вам линейку <b>Ero</b> от австрийского производителя Prime Products, уже полюбившегося российским потребителям своими линейками <a href=/brand/hot.html>Hot</a> и <a href=/brand/shiatsu.html>Shiatsu</a>.  <br><br>Линейка <b>Ero</b> включает в себя 4 продукта, каждый из которых поставляется в виде крема и спрея. Из них два продукта для женцин (<a href=/prod.php?id=14130>возбуждающий</a> и <a href=/prod.php?id=14131>сужающий</a>) и два продукта для мужчин (<a href=/prod.php?id=14133>возбуждающий</a> и <a href=/prod.php?id=14134>прологирующий</a>).";Австрия;html
143;"Livia Corsetti";;Польша;html
145;JimmyJane;;США;html
146;KOKOS;;Корея;html
147;Beastly;;Россия;html
149;Baci;;США;html
151;Chisa;;Китай;html
152;Tantus;;США;html
153;"B Swish";"BSwish - это роскошные товары по доступным ценам. Все продукты BSwish производятся только из качественного бархатистого пластика без запаха и 100% медицинского силикона. Единое красивое оформление упаковки привлекает внимание.";США;html
155;"Supreme Nature";;Нидерланды;html
156;Tokidoki;"Бренд Tokidoki - детище Саймона Легно, предпринимателя итальянского происхождения. С раннего детства Саймон любил рисовать, и желание создавать своими руками что-то новое не отпустило его даже в зрелом возрасте. Совместно с предпринимателями Пуни Мохаджером и Иваном Арнольдом в 2003 году он основал Tokidoki - бренд секс-игрушек, на дизайн которых Саймона вдохновило японское анимэ.";Великобритания;html
